avg_recall,avg_time_per_query_s,build_time_s,method,param_L,param_k,param_w,qps,recall_n
0.19833333333333333,0.021454243832219316,0.2696199310012162,Euclidean LSH,5,2,2.0,46.61082477762424,50
0.22666666666666668,0.03127578816444535,0.2481290169962449,Euclidean LSH,5,2,4.0,31.973614693324038,50
0.255,0.04462612499992247,0.1575205640110653,Euclidean LSH,5,2,6.0,22.408398667859633,50
0.24666666666666667,0.03696631791535765,0.3282722610019846,Euclidean LSH,10,2,2.0,27.05165286652881,50
0.25333333333333335,0.05623283299792092,0.36083671399683226,Euclidean LSH,10,2,4.0,17.783205054544784,50
0.25166666666666665,0.0586442006691262,0.31576553599734325,Euclidean LSH,10,2,6.0,17.05198448593502,50
0.09999999999999999,0.003114537835548011,0.19474983999680262,Euclidean LSH,5,4,2.0,321.07492437125825,50
0.16,0.011687485834651548,0.19028520099527668,Euclidean LSH,5,4,4.0,85.56160102758439,50
0.22999999999999998,0.023399971831774263,0.17914865700004157,Euclidean LSH,5,4,6.0,42.73509417828119,50
0.23666666666666666,0.027984053165710066,0.3329364370001713,Euclidean LSH,10,4,2.0,35.73463765518207,50
0.25333333333333335,0.06287225808167325,0.36403815299854614,Euclidean LSH,10,4,4.0,15.905266177985292,50
0.25166666666666665,0.06720686275123929,0.44971082398842555,Euclidean LSH,10,4,6.0,14.879432829671254,50
0.09333333333333334,0.0011396888342763607,0.17667573200014886,Euclidean LSH,5,6,2.0,877.4324797478116,50
0.11666666666666665,0.004326911664975341,0.18375522499263752,Euclidean LSH,5,6,4.0,231.11172065161605,50
0.15,0.005722933248762274,0.20344589299929794,Euclidean LSH,5,6,6.0,174.7355694243463,50
0.115,0.002304034251816726,0.3713641789945541,Euclidean LSH,10,6,2.0,434.0213255126317,50
0.20333333333333334,0.008502978582934398,0.3974057199957315,Euclidean LSH,10,6,4.0,117.60584720359222,50
0.2333333333333333,0.017057777417600544,0.3517986280057812,Euclidean LSH,10,6,6.0,58.624284718839206,50
