query_id,method,time_per_query_s,qps,recall_at_n
A0A009I3Y5,Euclidean LSH,0.125000,7.970000,0.020000
A0A009I3Y5,Hypercube,0.014000,72.700000,0.000000
A0A009I3Y5,Neural LSH,0.022000,44.900000,0.040000
A0A009I3Y5,IVF-Flat,0.012000,85.200000,0.040000
A0A009I3Y5,IVF-PQ,0.005000,195.000000,0.000000
A0A009I3Y5,BLAST (Ref),7.715000,0.130000,1.000000
A0A009PCK4,Euclidean LSH,0.007000,142.000000,0.020000
A0A009PCK4,Hypercube,0.001000,1740.000000,0.000000
A0A009PCK4,Neural LSH,0.002000,496.000000,0.040000
A0A009PCK4,IVF-Flat,0.002000,631.000000,0.040000
A0A009PCK4,IVF-PQ,0.001000,1080.000000,0.000000
A0A009PCK4,BLAST (Ref),7.715000,0.130000,1.000000
A0A001,Euclidean LSH,0.025000,40.000000,0.120000
A0A001,Hypercube,0.003000,335.000000,0.160000
A0A001,Neural LSH,0.006000,172.000000,0.280000
A0A001,IVF-Flat,0.008000,128.000000,0.200000
A0A001,IVF-PQ,0.002000,584.000000,0.100000
A0A001,BLAST (Ref),7.715000,0.130000,1.000000
A0A002,Euclidean LSH,0.009000,114.000000,0.140000
A0A002,Hypercube,0.000000,2020.000000,0.180000
A0A002,Neural LSH,0.002000,602.000000,0.380000
A0A002,IVF-Flat,0.003000,297.000000,0.300000
A0A002,IVF-PQ,0.001000,982.000000,0.160000
A0A002,BLAST (Ref),7.715000,0.130000,1.000000
A0A009HL96,Euclidean LSH,0.010000,97.200000,0.700000
A0A009HL96,Hypercube,0.004000,243.000000,0.200000
A0A009HL96,Neural LSH,0.002000,484.000000,0.700000
A0A009HL96,IVF-Flat,0.002000,434.000000,0.720000
A0A009HL96,IVF-PQ,0.001000,1130.000000,0.700000
A0A009HL96,BLAST (Ref),7.715000,0.130000,1.000000
A0A009HLV9,Euclidean LSH,0.011000,93.400000,0.380000
A0A009HLV9,Hypercube,0.002000,565.000000,0.140000
A0A009HLV9,Neural LSH,0.002000,622.000000,0.360000
A0A009HLV9,IVF-Flat,0.003000,377.000000,0.360000
A0A009HLV9,IVF-PQ,0.001000,1050.000000,0.280000
A0A009HLV9,BLAST (Ref),7.715000,0.130000,1.000000
A0A009HN45,Euclidean LSH,0.006000,167.000000,0.100000
A0A009HN45,Hypercube,0.001000,722.000000,0.180000
A0A009HN45,Neural LSH,0.004000,227.000000,0.220000
A0A009HN45,IVF-Flat,0.004000,253.000000,0.200000
A0A009HN45,IVF-PQ,0.001000,984.000000,0.140000
A0A009HN45,BLAST (Ref),7.715000,0.130000,1.000000
A0A009HQC9,Euclidean LSH,0.006000,165.000000,0.100000
A0A009HQC9,Hypercube,0.001000,1430.000000,0.240000
A0A009HQC9,Neural LSH,0.004000,245.000000,0.240000
A0A009HQC9,IVF-Flat,0.002000,645.000000,0.240000
A0A009HQC9,IVF-PQ,0.001000,1120.000000,0.240000
A0A009HQC9,BLAST (Ref),7.715000,0.130000,1.000000
A0A009HPM0,Euclidean LSH,0.005000,194.000000,0.100000
A0A009HPM0,Hypercube,0.002000,419.000000,0.000000
A0A009HPM0,Neural LSH,0.001000,769.000000,0.000000
A0A009HPM0,IVF-Flat,0.004000,276.000000,0.140000
A0A009HPM0,IVF-PQ,0.001000,954.000000,0.000000
A0A009HPM0,BLAST (Ref),7.715000,0.130000,1.000000
A0A009IB02,Euclidean LSH,0.004000,260.000000,0.300000
A0A009IB02,Hypercube,0.002000,511.000000,0.060000
A0A009IB02,Neural LSH,0.001000,862.000000,0.340000
A0A009IB02,IVF-Flat,0.002000,423.000000,0.320000
A0A009IB02,IVF-PQ,0.001000,712.000000,0.220000
A0A009IB02,BLAST (Ref),7.715000,0.130000,1.000000
A0A010Q3W2,Euclidean LSH,0.008000,121.000000,0.300000
A0A010Q3W2,Hypercube,0.002000,508.000000,0.000000
A0A010Q3W2,Neural LSH,0.002000,507.000000,0.300000
A0A010Q3W2,IVF-Flat,0.002000,411.000000,0.280000
A0A010Q3W2,IVF-PQ,0.001000,1130.000000,0.200000
A0A010Q3W2,BLAST (Ref),7.715000,0.130000,1.000000
A0A010Q8R4,Euclidean LSH,0.008000,132.000000,0.160000
A0A010Q8R4,Hypercube,0.002000,487.000000,0.000000
A0A010Q8R4,Neural LSH,0.001000,713.000000,0.220000
A0A010Q8R4,IVF-Flat,0.003000,359.000000,0.180000
A0A010Q8R4,IVF-PQ,0.001000,901.000000,0.180000
A0A010Q8R4,BLAST (Ref),7.715000,0.130000,1.000000
